Descripcion;Tipo_Accesorio;Material;Longitud;Alto;Ancho;Precio
Perfiles separadores Bandeja portacable Acero Inoxidable 3m 80mm ;Perfiles separadores;Acero Inoxidable;3;80;;
Perfiles separadores Bandeja portacable Acero Inoxidable 3m 100mm ;Perfiles separadores;Acero Inoxidable;3;100;;
Perfiles separadores Bandeja portacable Acero Inoxidable 3m 150mm ;Perfiles separadores;Acero Inoxidable;3;150;;
Perfiles separadores Bandeja portacable PVC 2,4m 50mm ;Perfiles separadores;PVC;2,4;50;;
Perfiles separadores Bandeja portacable PVC 2,4m 60mm ;Perfiles separadores;PVC;2,4;60;;
Perfiles separadores Bandeja portacable PVC 2,4m 75mm ;Perfiles separadores;PVC;2,4;75;;
Perfiles separadores Bandeja portacable PVC 2,4m 80mm ;Perfiles separadores;PVC;2,4;80;;
Perfiles separadores Bandeja portacable PVC 2,4m 100mm ;Perfiles separadores;PVC;2,4;100;;
Perfiles separadores Bandeja portacable PVC 2,4m 150mm ;Perfiles separadores;PVC;2,4;150;;
Perfiles separadores Bandeja portacable PVC 3m 50mm ;Perfiles separadores;PVC;3;50;;
Perfiles separadores Bandeja portacable PVC 3m 60mm ;Perfiles separadores;PVC;3;60;;
Perfiles separadores Bandeja portacable PVC 3m 75mm ;Perfiles separadores;PVC;3;75;;
Perfiles separadores Bandeja portacable PVC 3m 80mm ;Perfiles separadores;PVC;3;80;;
Perfiles separadores Bandeja portacable PVC 3m 100mm ;Perfiles separadores;PVC;3;100;;
Perfiles separadores Bandeja portacable PVC 3m 150mm ;Perfiles separadores;PVC;3;150;;
