Descripcion;Tipo_Accesorio;Material;Longitud;Alto;Ancho;Precio
Tapa superior Bandeja portacable Acero Inoxidable 3m 600mm ;Tapa superior;Acero Inoxidable;3;;600;
Tapa superior Bandeja portacable Acero Inoxidable 3m 700mm ;Tapa superior;Acero Inoxidable;3;;700;
Tapa superior Bandeja portacable Acero Inoxidable 3m 750mm ;Tapa superior;Acero Inoxidable;3;;750;
Tapa superior Bandeja portacable Acero Inoxidable 3m 800mm ;Tapa superior;Acero Inoxidable;3;;800;
Tapa superior Bandeja portacable Acero Inoxidable 3m 900mm ;Tapa superior;Acero Inoxidable;3;;900;
Tapa superior Bandeja portacable PVC 2,4m 50mm ;Tapa superior;PVC;2,4;;50;
Tapa superior Bandeja portacable PVC 2,4m 75mm ;Tapa superior;PVC;2,4;;75;
Tapa superior Bandeja portacable PVC 2,4m 100mm ;Tapa superior;PVC;2,4;;100;
Tapa superior Bandeja portacable PVC 2,4m 150mm ;Tapa superior;PVC;2,4;;150;
Tapa superior Bandeja portacable PVC 2,4m 200mm ;Tapa superior;PVC;2,4;;200;
Tapa superior Bandeja portacable PVC 2,4m 225mm ;Tapa superior;PVC;2,4;;225;
Tapa superior Bandeja portacable PVC 2,4m 300mm ;Tapa superior;PVC;2,4;;300;
Tapa superior Bandeja portacable PVC 2,4m 400mm ;Tapa superior;PVC;2,4;;400;
Tapa superior Bandeja portacable PVC 2,4m 450mm ;Tapa superior;PVC;2,4;;450;
Tapa superior Bandeja portacable PVC 2,4m 500mm ;Tapa superior;PVC;2,4;;500;
Tapa superior Bandeja portacable PVC 2,4m 600mm ;Tapa superior;PVC;2,4;;600;
Tapa superior Bandeja portacable PVC 2,4m 700mm ;Tapa superior;PVC;2,4;;700;
Tapa superior Bandeja portacable PVC 2,4m 750mm ;Tapa superior;PVC;2,4;;750;
Tapa superior Bandeja portacable PVC 2,4m 800mm ;Tapa superior;PVC;2,4;;800;
Tapa superior Bandeja portacable PVC 2,4m 900mm ;Tapa superior;PVC;2,4;;900;
Tapa superior Bandeja portacable PVC 3m 50mm ;Tapa superior;PVC;3;;50;
Tapa superior Bandeja portacable PVC 3m 75mm ;Tapa superior;PVC;3;;75;
Tapa superior Bandeja portacable PVC 3m 100mm ;Tapa superior;PVC;3;;100;
Tapa superior Bandeja portacable PVC 3m 150mm ;Tapa superior;PVC;3;;150;
Tapa superior Bandeja portacable PVC 3m 200mm ;Tapa superior;PVC;3;;200;
Tapa superior Bandeja portacable PVC 3m 225mm ;Tapa superior;PVC;3;;225;
Tapa superior Bandeja portacable PVC 3m 300mm ;Tapa superior;PVC;3;;300;
Tapa superior Bandeja portacable PVC 3m 400mm ;Tapa superior;PVC;3;;400;
Tapa superior Bandeja portacable PVC 3m 450mm ;Tapa superior;PVC;3;;450;
Tapa superior Bandeja portacable PVC 3m 500mm ;Tapa superior;PVC;3;;500;
Tapa superior Bandeja portacable PVC 3m 600mm ;Tapa superior;PVC;3;;600;
Tapa superior Bandeja portacable PVC 3m 700mm ;Tapa superior;PVC;3;;700;
Tapa superior Bandeja portacable PVC 3m 750mm ;Tapa superior;PVC;3;;750;
Tapa superior Bandeja portacable PVC 3m 800mm ;Tapa superior;PVC;3;;800;
Tapa superior Bandeja portacable PVC 3m 900mm ;Tapa superior;PVC;3;;900;
Tapa inferior Bandeja portacable Aluminio 2,4m 50mm ;Tapa inferior;Aluminio;2,4;;50;
