Descripcion;Modelo;Fabricante;No_Mppt;Pot_nom;Pot_FV_in_min;Pot_FV_in_max;Imax_in_Mppt1;Imax_in_Mppt2;Imax_in_Mppt3;Imax_in_Mppt4;Imax_in_Mppt5;Imax_in_Mppt6;Imax_in_Mppt1+2;Imax_in_Mppt3+4;Imax_in_Mppt5+6;ISCmax_Mppt1;ISCmax_Mppt2;ISCmax_Mppt3;ISCmax_Mppt4;ISCmax_Mppt5;ISCmax_Mppt6;ISCmax_Mppt1+2;ISCmax_Mppt3+4;ISCmax_Mppt5+6;Vin_min;Vin_max;Vop_min;Vop_max;Vsal_1;Vsal_2;Vsal_3;Tipo_conex;Psal_1;Psal_2;Pot_sal_3;Isal_max_1;Isal_max_2;Isal_max_3;I_int_sal_1;I_int_sal_2;I_int_sal_3;precio
Inversor Fronius Symo 10kW 208/240V  3~;SYMO 10.0-3 208/240;Fronius;2;10;8;13;25;16,5;0;0;0;0;0;0;0;37,5;24,8;0;0;0;0;0;0;0;200;600;300;500;208;240;0;Trifásica;9995;9995;0;27,7;24,4;0;35;30;0;0
Inversor Fronius Symo 12kW 208/240V  3~;SYMO 12.0-3 208/240;Fronius;2;12;9,5;15,5;25;16,5;0;0;0;0;0;0;0;37,5;24,8;0;0;0;0;0;0;0;200;600;300;500;208;240;0;Trifásica;11995;11995;0;33,3;28,9;0;45;40;0;0
Inversor Fronius Symo 10kW 480V  3~;SYMO 10.0-3 480;Fronius;2;10;8;13;25;16,5;0;0;0;0;0;0;0;37,5;24,8;0;0;0;0;0;0;0;200;1000;300;800;480;0;0;Trifásica;9995;0;0;12;0;0;15;0;0;0
Inversor Fronius Symo 12.5kW 480V  3~;SYMO 12.5-3 480;Fronius;2;12,5;10;16;25;16,5;0;0;0;0;0;0;0;37,5;24,8;0;0;0;0;0;0;0;200;1000;350;800;480;0;0;Trifásica;12495;0;0;15;0;0;20;0;0;0
Inversor Fronius Symo 15kW 480V  3~;SYMO 15.0-3 480;Fronius;2;15;12;19,5;33;25;0;0;0;0;51;0;0;49,5;37,5;0;0;0;0;76,5;0;0;200;1000;350;800;480;440;0;Trifásica;14995;14995;0;18;19,7;0;25;25;0;0
Inversor Fronius Symo 17.5kW 480V  3~;SYMO 17.5-3 480;Fronius;2;17,5;14;23;25;16,5;0;0;0;0;0;0;0;37,5;24,8;0;0;0;0;0;0;0;200;1000;400;800;480;0;0;Trifásica;17495;0;0;21;0;0;30;0;0;0
Inversor Fronius Symo 20kW 480V  3~;SYMO 20.0-3 480;Fronius;2;20;16;26;33;25;0;0;0;0;0;0;0;49,5;37,5;0;0;0;0;0;0;0;200;1000;450;800;480;0;0;Trifásica;19995;0;0;24;0;0;30;0;0;0
Inversor Fronius Symo 22,7kW 480V  3~;SYMO 22.7-3 480;Fronius;2;22,7;18;29,5;33;25;0;0;0;0;51;0;0;49,5;37,5;0;0;0;0;76,5;0;0;200;1000;500;800;480;440;0;Trifásica;22727;22727;0;27,3;29,8;0;35;40;0;0
Inversor Fronius Symo 24kW 480V  3~;SYMO 24.0-3 480;Fronius;2;24;19;31;33;25;0;0;0;0;0;0;0;49,5;37,5;0;0;0;0;0;0;0;200;1000;500;800;480;0;0;Trifásica;23995;0;0;28,9;0;0;40;0;0;0
Inversor Fronius Primo 3,8kW 208/240V  1~;PRIMO 3.8-1 208/240;Fronius;2;3,8;3;6;18;18;0;0;0;0;36;0;0;27;27;0;0;0;0;54;0;0;80;600;200;480;208;240;0;Monofásica;3800;3800;0;18,3;15,8;0;25;20;0;0
Inversor Fronius Primo 5kW 208/240V  1~;PRIMO 5.0-1 208/240;Fronius;2;5;4;7,8;18;18;0;0;0;0;36;0;0;27;27;0;0;0;0;54;0;0;80;600;200;400;208;240;0;Monofásica;5000;500;0;24;20,8;0;30;30;0;0
Inversor Fronius Primo 6kW 208/240V  1~;PRIMO 6.0-1 208/240;Fronius;2;6;4,8;9,3;18;18;0;0;0;0;36;0;0;27;27;0;0;0;0;54;0;0;80;600;240;480;208;240;0;Monofásica;6000;6000;0;28,8;25;0;40;35;0;0
Inversor Fronius Primo 7kW 208/240V  1~;PRIMO 7.6-1 208/240;Fronius;2;7,6;6,1;11,7;18;18;0;0;0;0;36;0;0;27;27;0;0;0;0;54;0;0;80;600;250;480;208;240;0;Monofásica;7600;7600;0;36,5;31,7;0;50;40;0;0
Inversor Fronius Primo 8kW 208/240V  1~;PRIMO 8.2-1 208/240;Fronius;2;8,2;6,6;12,7;18;18;0;0;0;0;36;0;0;27;27;0;0;0;0;54;0;0;80;600;270;480;208;240;0;Monofásica;7900;8200;0;38;34,2;0;50;45;0;0
Inversor Fronius Primo 10kW 208/240V  1~;PRIMO 10.0-1 208/240;Fronius;2;10;8;12;33;18;0;0;0;0;51;0;0;49,5;27;0;0;0;0;76,5;0;0;80;600;220;480;208;240;0;Monofásica;9995;9995;0;48,1;41,6;0;70;60;0;0
